code,city,area_type,nearest_station_m,station_bonus
13101,千代田区,都心住宅,451.0,1.15
13102,中央区,超都心,293.0,1.3
13103,港区,超都心,456.0,1.15
13104,新宿区,超都心,263.0,1.3
13105,文京区,超都心,634.0,1.0
13106,台東区,超都心,538.0,1.0
13107,墨田区,超都心,304.0,1.15
13108,江東区,超都心,411.0,1.15
13109,品川区,超都心,258.0,1.3
13110,目黒区,超都心,291.0,1.3
13111,大田区,超都心,459.0,1.15
13112,世田谷区,超都心,1132.0,1.0
13113,渋谷区,超都心,573.0,1.0
13114,中野区,超都心,632.0,1.0
13115,杉並区,超都心,959.0,1.0
13116,豊島区,超都心,142.0,1.3
13117,北区,超都心,290.0,1.3
13118,荒川区,超都心,259.0,1.3
13119,板橋区,超都心,1011.0,1.0
13120,練馬区,超都心,778.0,1.0
13121,足立区,超都心,465.0,1.15
13122,葛飾区,超都心,852.0,1.0
13123,江戸川区,都心住宅,976.0,1.0
13201,八王子市,郊外住宅,1992.0,1.0
13202,立川市,都心住宅,924.0,1.0
13203,武蔵野市,超都心,606.0,1.0
13204,三鷹市,都心住宅,1999.0,1.0
13205,青梅市,ロードサイド,1705.0,1.0
13206,府中市,超都心,268.0,1.3
13207,昭島市,都心住宅,703.0,1.0
13208,調布市,超都心,868.0,1.0
13209,町田市,都心住宅,2456.0,1.0
13210,小金井市,都心住宅,385.0,1.15
13211,小平市,超都心,588.0,1.0
13212,日野市,都心住宅,1138.0,1.0
13213,東村山市,超都心,607.0,1.0
13214,国分寺市,超都心,692.0,1.0
13215,国立市,超都心,673.0,1.0
13218,福生市,都心住宅,300.0,1.3
13219,狛江市,超都心,286.0,1.3
13220,東大和市,都心住宅,1091.0,1.0
13221,清瀬市,郊外住宅,1058.0,1.0
13222,東久留米市,郊外住宅,1465.0,1.0
13223,武蔵村山市,郊外住宅,2496.0,1.0
13224,多摩市,都心住宅,761.0,1.0
13225,稲城市,都心住宅,781.0,1.0
13227,羽村市,都心住宅,631.0,1.0
13228,あきる野市,ロードサイド,261.0,1.0
13229,西東京市,超都心,897.0,1.0
13303,瑞穂町,ロードサイド,397.0,1.0
13305,日の出町,ロードサイド,2930.0,1.0
13307,檜原村,ロードサイド,8444.0,1.0
13308,奥多摩町,ロードサイド,4008.0,1.0
13361,大島町,ロードサイド,52515.0,1.0
13362,利島村,ロードサイド,70574.0,1.0
13363,新島村,ロードサイド,86281.0,1.0
13364,神津島村,ロードサイド,101797.0,1.0
13381,三宅村,ロードサイド,121652.0,1.0
13382,御蔵島村,ロードサイド,144567.0,1.0
13401,八丈町,ロードサイド,230136.0,1.0
13402,青ヶ島村,ロードサイド,301977.0,1.0
13421,小笠原村,ロードサイド,1000792.0,1.0
13801,鳥島,ロードサイド,521580.0,1.0
13802,ベヨネース列岩,ロードサイド,365880.0,1.0
13803,須美寿島,ロードサイド,416470.0,1.0
13804,孀婦岩,ロードサイド,598089.0,1.0
13805,荒川河口部,ロードサイド,1533.0,1.0
13807,中央防波堤外側廃棄物処理場（中潮橋南側）,ロードサイド,4348.0,1.0
13808,所属未定地,ロードサイド,4810.0,1.0
14101,横浜市鶴見区,超都心,185.0,1.3
14102,横浜市神奈川区,超都心,931.0,1.0
14103,横浜市西区,超都心,82.0,1.3
14104,横浜市中区,都心住宅,1105.0,1.0
14105,横浜市南区,超都心,570.0,1.0
14106,横浜市保土ケ谷区,都心住宅,737.0,1.0
14107,横浜市磯子区,超都心,397.0,1.15
14108,横浜市金沢区,都心住宅,667.0,1.0
14109,横浜市港北区,超都心,933.0,1.0
14110,横浜市戸塚区,都心住宅,404.0,1.15
14111,横浜市港南区,超都心,965.0,1.0
14112,横浜市旭区,都心住宅,1508.0,1.0
14113,横浜市緑区,都心住宅,1203.0,1.0
14114,横浜市瀬谷区,都心住宅,532.0,1.0
14115,横浜市栄区,郊外住宅,863.0,1.0
14116,横浜市泉区,都心住宅,716.0,1.0
14117,横浜市青葉区,都心住宅,1752.0,1.0
14118,横浜市都筑区,都心住宅,627.0,1.0
14131,川崎市川崎区,都心住宅,1338.0,1.0
14132,川崎市幸区,超都心,666.0,1.0
14133,川崎市中原区,超都心,625.0,1.0
14134,川崎市高津区,超都心,832.0,1.0
14135,川崎市多摩区,超都心,874.0,1.0
14136,川崎市宮前区,都心住宅,354.0,1.15
14137,川崎市麻生区,都心住宅,482.0,1.15
14151,相模原市緑区,ロードサイド,5283.0,1.0
14152,相模原市中央区,都心住宅,617.0,1.0
14153,相模原市南区,都心住宅,1941.0,1.0
14201,横須賀市,郊外住宅,843.0,1.0
14203,平塚市,郊外住宅,3716.0,1.0
14204,鎌倉市,郊外住宅,1050.0,1.0
14205,藤沢市,都心住宅,1424.0,1.0
14206,小田原市,ロードサイド,1220.0,1.0
14207,茅ヶ崎市,郊外住宅,600.0,1.0
14208,逗子市,郊外住宅,844.0,1.0
14210,三浦市,ロードサイド,1350.0,1.0
14211,秦野市,ロードサイド,3335.0,1.0
14212,厚木市,郊外住宅,4428.0,1.0
14213,大和市,超都心,615.0,1.0
14214,伊勢原市,ロードサイド,2503.0,1.0
14215,海老名市,都心住宅,1480.0,1.0
14216,座間市,都心住宅,1128.0,1.0
14217,南足柄市,ロードサイド,3175.0,1.0
14218,綾瀬市,郊外住宅,3196.0,1.0
14301,葉山町,ロードサイド,3059.0,1.0
14321,寒川町,郊外住宅,890.0,1.0
14341,大磯町,ロードサイド,2316.0,1.0
14342,二宮町,郊外住宅,1253.0,1.0
14361,中井町,ロードサイド,3914.0,1.0
14362,大井町,ロードサイド,1361.0,1.0
14363,松田町,ロードサイド,4381.0,1.0
14364,山北町,ロードサイド,6602.0,1.0
14366,開成町,郊外住宅,1395.0,1.0
14382,箱根町,ロードサイド,1632.0,1.0
14383,真鶴町,ロードサイド,957.0,1.0
14384,湯河原町,ロードサイド,3060.0,1.0
14401,愛川町,ロードサイド,4668.0,1.0
14402,清川村,ロードサイド,6192.0,1.0
