code,city,pref,area_type,trade_radius_km,total_pop,women_40plus,residential_ratio,pop_density,station_density,nearest_station_m,nearest_road_m,station_bonus,road_bonus,location_bonus,comp_in_radius,comp_penalty,barrier_factor,border_bonus,base_score,score_v2,score_v3,score_v4,rank_v3,rank_v4,rank_chg
14110,横浜市戸塚区,神奈川,都心住宅,2.0,283709,89057,0.1264,7916.9853,0.1116,404.0,234.0,1.15,1.0,1.15,3,0.55,1.0,1.0,895.7881,0.6,0.3,22.0,122.0,29.0,93
13208,調布市,東京都,超都心,1.0,242614,70497,0.0354,11236.0126,0.4168,868.0,486.0,1.0,1.0,1.0,2,0.7,1.0,1.0,794.3722,0.3,0.2,21.6,137.0,30.0,107
13205,青梅市,東京都,ロードサイド,5.0,133535,45637,0.6574,1293.4124,0.1162,1705.0,1189.0,1.0,0.85,0.85,1,0.85,1.95,1.0,381.9943,61.8,61.8,20.9,3.0,31.0,-28
11207,秩父市,埼玉県,ロードサイド,5.0,59674,21143,0.8874,103.2635,0.019,4114.0,769.0,1.0,1.15,1.15,0,1.0,1.95,1.0,238.889,100.0,100.0,20.8,1.0,32.0,-31
14205,藤沢市,神奈川,都心住宅,2.0,436905,135836,0.0483,6275.9985,0.2873,1424.0,541.0,1.0,1.0,1.0,0,1.0,1.0,1.0,522.0981,3.7,3.7,20.2,36.0,33.0,3
14117,横浜市青葉区,神奈川,都心住宅,2.0,310756,97611,0.0914,8818.5996,0.2838,1752.0,99.0,1.0,1.0,1.0,3,0.55,1.3,1.0,709.962,1.7,1.4,19.7,55.0,34.0,21
13212,日野市,東京都,都心住宅,2.0,190435,55844,0.0954,6919.2397,0.436,1138.0,292.0,1.0,1.0,1.0,1,0.85,1.3,1.0,423.9504,1.4,1.2,18.2,61.0,35.0,26
13224,多摩市,東京都,都心住宅,2.0,146951,48929,0.1377,6988.867,0.3329,761.0,231.0,1.0,1.0,1.0,1,0.85,1.0,1.0,536.1551,0.7,0.6,17.7,94.0,36.0,58
11209,飯能市,埼玉県,ロードサイド,5.0,80361,26685,0.798,416.3139,0.0363,2331.0,2402.0,1.0,0.85,0.85,0,1.0,1.95,1.0,271.1317,51.4,51.4,17.4,4.0,37.0,-33
14153,相模原市南区,神奈川,都心住宅,2.0,281411,85875,0.077,7390.5503,0.1838,1941.0,1233.0,1.0,1.0,1.0,1,0.85,1.0,1.0,526.1961,1.5,1.2,17.3,61.0,38.0,23
12203,市川市,千葉県,都心住宅,2.0,496676,138996,0.0483,8729.1741,0.2988,446.0,179.0,1.15,1.0,1.15,2,0.7,1.0,1.0,534.2439,2.1,2.1,16.7,45.0,39.0,6
14105,横浜市南区,神奈川,超都心,1.0,198157,61651,0.0307,15670.0308,0.6326,570.0,285.0,1.0,1.0,1.0,2,0.7,1.0,1.0,602.4606,0.1,0.1,16.3,155.0,40.0,115
13228,あきる野市,東京都,ロードサイド,5.0,79292,25563,0.6309,1079.5151,0.0681,261.0,165.0,1.0,1.3,1.3,0,1.0,1.5,1.0,205.3442,15.3,15.3,15.5,11.0,41.0,-30
13110,目黒区,東京都,超都心,1.0,288088,86554,0.0157,19584.2609,0.6798,291.0,454.0,1.3,1.0,1.3,2,0.7,1.0,1.0,432.5506,0.1,0.1,15.3,155.0,42.0,113
13211,小平市,東京都,超都心,1.0,198739,58570,0.0209,9679.2957,0.3409,588.0,357.0,1.0,1.0,1.0,0,1.0,1.0,1.0,389.6473,0.2,0.1,15.1,155.0,43.0,112
14106,横浜市保土ケ谷区,神奈川,都心住宅,2.0,207811,65414,0.1029,9474.9448,0.2736,737.0,692.0,1.0,1.0,1.0,2,0.7,1.0,1.0,535.644,0.6,0.5,14.5,103.0,44.0,59
13117,北区,東京都,超都心,1.0,355213,105032,0.0147,17237.0669,0.9705,290.0,226.0,1.3,1.0,1.3,3,0.55,1.0,1.0,491.461,0.1,0.1,13.6,155.0,45.0,110
12102,千葉市花見川区,千葉県,都心住宅,2.0,177328,56324,0.0757,5184.8394,0.1754,2389.0,2760.0,1.0,1.0,1.0,0,1.0,1.0,1.0,339.2966,1.2,1.2,13.2,61.0,46.0,15
13106,台東区,東京都,超都心,1.0,211444,60602,0.0207,20888.2588,2.2721,538.0,394.0,1.0,1.0,1.0,1,0.85,1.0,1.0,399.3075,0.1,0.1,13.2,155.0,46.0,109
13229,西東京市,東京都,超都心,1.0,207388,63900,0.0166,13139.3029,0.3168,897.0,305.0,1.0,1.0,1.0,1,0.85,1.0,1.0,337.644,0.1,0.1,11.1,155.0,48.0,107
13220,東大和市,東京都,都心住宅,2.0,83901,27150,0.1818,6261.8327,0.2985,1091.0,23.0,1.0,1.0,1.0,3,0.55,1.3,1.0,392.7841,1.7,1.4,10.9,55.0,49.0,6
14134,川崎市高津区,神奈川,超都心,1.0,234328,63863,0.0454,14309.0795,0.4275,832.0,4.0,1.0,1.0,1.0,5,0.3,1.0,1.0,922.9014,0.4,0.1,10.7,155.0,50.0,105
14136,川崎市宮前区,神奈川,都心住宅,2.0,233728,68417,0.0506,12568.8359,0.1613,354.0,79.0,1.15,1.0,1.15,1,0.85,1.0,1.0,275.4893,0.8,0.7,10.4,83.0,51.0,32
13214,国分寺市,東京都,超都心,1.0,129242,37172,0.0264,11305.7109,0.3499,692.0,23.0,1.0,1.0,1.0,1,0.85,1.0,1.0,312.3705,0.2,0.1,10.3,155.0,52.0,103
11225,入間市,埼玉県,郊外住宅,3.0,145651,48096,0.1723,3259.6448,0.1119,2291.0,693.0,1.0,1.15,1.15,2,0.7,1.0,1.0,293.0906,3.0,3.0,9.1,41.0,53.0,-12
12210,茂原市,千葉県,ロードサイド,5.0,86782,30199,1.0,868.9393,0.03,150.0,399.0,1.0,1.3,1.3,4,0.4,1.0,1.0,384.5056,10.5,10.5,7.8,16.0,54.0,-38
12104,千葉市若葉区,千葉県,ロードサイド,5.0,146940,47846,0.2749,1745.6859,0.0832,2000.0,903.0,1.0,1.15,1.15,0,1.0,1.0,1.0,167.4675,3.9,3.9,7.5,34.0,55.0,-21
12106,千葉市美浜区,千葉県,都心住宅,2.0,148944,50266,0.0483,7028.3496,0.1888,467.0,1300.0,1.15,1.0,1.15,1,0.85,1.0,1.0,193.202,0.8,0.8,7.3,78.0,56.0,22
14211,秦野市,神奈川,ロードサイド,5.0,162439,52231,0.5515,1566.6262,0.0386,3335.0,1318.0,1.0,0.85,0.85,4,0.4,1.5,1.0,366.7617,13.7,11.4,7.3,13.0,56.0,-43
12237,山武市,千葉県,ロードサイド,5.0,48444,17489,1.0,329.9676,0.0204,1945.0,1354.0,1.0,0.85,0.85,0,1.0,1.0,1.0,222.6769,11.9,11.9,7.3,12.0,56.0,-44
13107,墨田区,東京都,超都心,1.0,272085,78582,0.0114,19642.5462,1.1551,304.0,617.0,1.15,1.0,1.15,3,0.55,1.0,1.0,285.1531,0.1,0.0,7.0,185.0,59.0,126
14108,横浜市金沢区,神奈川,都心住宅,2.0,198939,66078,0.0483,6429.0669,0.5817,667.0,127.0,1.0,1.0,1.0,2,0.7,1.0,1.0,253.9769,0.4,0.3,6.9,122.0,60.0,62
14116,横浜市泉区,神奈川,都心住宅,2.0,152378,50898,0.0602,6473.9916,0.3824,716.0,627.0,1.0,1.0,1.0,2,0.7,1.0,1.0,243.8301,0.4,0.2,6.6,137.0,61.0,76
14217,南足柄市,神奈川,ロードサイド,5.0,40841,14247,0.7218,529.7588,0.0778,3175.0,2258.0,1.0,0.85,0.85,0,1.0,1.5,1.0,130.9334,22.0,22.0,6.5,7.0,62.0,-55
11203,川口市,埼玉県,都心住宅,2.0,594274,174900,0.0123,9601.83,0.1454,377.0,163.0,1.15,1.0,1.15,1,0.85,1.0,1.0,171.1926,0.3,0.2,6.5,137.0,62.0,75
13204,三鷹市,東京都,都心住宅,2.0,195391,57293,0.0529,11899.1568,0.1218,1999.0,384.0,1.0,1.0,1.0,2,0.7,1.0,1.0,241.1834,0.2,0.2,6.5,137.0,62.0,75
14201,横須賀市,神奈川,郊外住宅,3.0,388078,132786,0.0483,3849.1971,0.2083,843.0,432.0,1.0,1.3,1.3,3,0.55,1.0,1.0,226.8334,6.4,6.4,6.3,22.0,65.0,-43
11208,所沢市,埼玉県,郊外住宅,3.0,342464,99067,0.1148,4752.3413,0.1526,716.0,69.0,1.0,1.3,1.3,5,0.3,1.0,1.0,402.2338,0.6,0.4,6.1,111.0,66.0,45
12224,鎌ケ谷市,千葉県,都心住宅,2.0,109932,35396,0.0615,5210.9181,0.3792,173.0,37.0,1.3,1.0,1.3,2,0.7,1.0,1.0,173.2285,0.1,0.1,6.1,155.0,66.0,89
12220,流山市,千葉県,都心住宅,2.0,199849,56252,0.0609,5655.9959,0.3113,1006.0,129.0,1.0,1.0,1.0,3,0.55,1.0,1.0,272.6123,0.5,0.4,5.8,111.0,68.0,43
14118,横浜市都筑区,神奈川,都心住宅,2.0,213132,62311,0.0742,7648.4695,0.3589,627.0,433.0,1.0,1.0,1.0,4,0.4,1.0,1.0,367.9245,0.6,0.4,5.7,111.0,69.0,42
12221,八千代市,千葉県,郊外住宅,3.0,199498,62224,0.0911,3881.6569,0.1362,1264.0,1440.0,1.0,0.85,0.85,1,0.85,1.0,1.0,200.4859,1.4,1.2,5.6,61.0,70.0,-9
