code,city,pref,area_km2
12103,千葉市稲毛区,千葉県,21.218
12104,千葉市若葉区,千葉県,84.175
12105,千葉市緑区,千葉県,66.241
12106,千葉市美浜区,千葉県,21.192
12202,銚子市,千葉県,84.198
12203,市川市,千葉県,56.915
12204,船橋市,千葉県,85.601
12205,館山市,千葉県,110.025
12206,木更津市,千葉県,138.868
12207,松戸市,千葉県,61.366
12208,野田市,千葉県,103.529
12210,茂原市,千葉県,99.9
12211,成田市,千葉県,213.806
12212,佐倉市,千葉県,103.677
12213,東金市,千葉県,89.104
12215,旭市,千葉県,130.473
12216,習志野市,千葉県,20.968
12217,柏市,千葉県,114.721
12218,勝浦市,千葉県,94.104
12219,市原市,千葉県,368.089
12220,流山市,千葉県,35.316
12221,八千代市,千葉県,51.379
12222,我孫子市,千葉県,43.141
12223,鴨川市,千葉県,191.102
12224,鎌ケ谷市,千葉県,21.081
12225,君津市,千葉県,318.717
12226,富津市,千葉県,205.355
12227,浦安市,千葉県,18.87
12228,四街道市,千葉県,34.518
12229,袖ケ浦市,千葉県,94.902
12230,八街市,千葉県,74.928
12231,印西市,千葉県,123.768
12232,白井市,千葉県,35.474
12233,富里市,千葉県,53.87
12234,南房総市,千葉県,229.51
12235,匝瑳市,千葉県,101.474
12236,香取市,千葉県,262.328
12237,山武市,千葉県,146.751
12238,いすみ市,千葉県,157.478
12239,大網白里市,千葉県,58.075
12322,酒々井町,千葉県,19.005
12329,栄町,千葉県,32.508
12342,神崎町,千葉県,19.895
12347,多古町,千葉県,72.792
12349,東庄町,千葉県,46.251
12403,九十九里町,千葉県,24.438
12409,芝山町,千葉県,43.238
12410,横芝光町,千葉県,67.0
12421,一宮町,千葉県,22.988
12422,睦沢町,千葉県,35.585
12423,長生村,千葉県,28.25
12424,白子町,千葉県,27.5
12426,長柄町,千葉県,47.104
12427,長南町,千葉県,65.497
12441,大多喜町,千葉県,129.847
12443,御宿町,千葉県,24.695
12463,鋸南町,千葉県,45.165
12801,市川市・船橋市境界地先の土地,千葉県,0.1
13101,千代田区,東京都,11.48
13102,中央区,東京都,10.222
13103,港区,東京都,20.529
13104,新宿区,東京都,18.22
13105,文京区,東京都,11.284
13106,台東区,東京都,10.104
13107,墨田区,東京都,13.769
13108,江東区,東京都,43.002
13109,品川区,東京都,22.831
13110,目黒区,東京都,14.672
13111,大田区,東京都,61.846
13112,世田谷区,東京都,58.043
13113,渋谷区,東京都,15.108
13114,中野区,東京都,15.591
13115,杉並区,東京都,34.049
13116,豊島区,東京都,13.009
13117,北区,東京都,20.605
13118,荒川区,東京都,10.154
13119,板橋区,東京都,32.217
13120,練馬区,東京都,48.073
13121,足立区,東京都,53.236
13122,葛飾区,東京都,34.872
13123,江戸川区,東京都,48.843
13201,八王子市,東京都,186.354
13202,立川市,東京都,24.356
13203,武蔵野市,東京都,10.977
13204,三鷹市,東京都,16.421
13205,青梅市,東京都,103.293
13206,府中市,東京都,29.421
13207,昭島市,東京都,17.336
13208,調布市,東京都,21.578
13209,町田市,東京都,71.535
13210,小金井市,東京都,11.293
13211,小平市,東京都,20.511
13212,日野市,東京都,27.541
13213,東村山市,東京都,17.132
13214,国分寺市,東京都,11.454
13215,国立市,東京都,8.147
13218,福生市,東京都,10.161
13219,狛江市,東京都,6.386
13220,東大和市,東京都,13.422
13221,清瀬市,東京都,10.229
13222,東久留米市,東京都,12.879
13223,武蔵村山市,東京都,15.319
13224,多摩市,東京都,21.006
13225,稲城市,東京都,17.967
13227,羽村市,東京都,9.9
13228,あきる野市,東京都,73.46
13229,西東京市,東京都,15.75
13303,瑞穂町,東京都,16.844
13305,日の出町,東京都,28.07
13307,檜原村,東京都,105.397
13308,奥多摩町,東京都,225.515
13361,大島町,東京都,90.748
13362,利島村,東京都,4.124
13363,新島村,東京都,27.534
13364,神津島村,東京都,18.582
13381,三宅村,東京都,55.248
13382,御蔵島村,東京都,20.545
13401,八丈町,東京都,72.221
13402,青ヶ島村,東京都,5.96
13421,小笠原村,東京都,107.05
13801,鳥島,東京都,4.786
13802,ベヨネース列岩,東京都,0.002
13803,須美寿島,東京都,0.023
13804,孀婦岩,東京都,0.004
13805,荒川河口部,東京都,1.123
13807,中央防波堤外側廃棄物処理場（中潮橋南側）,東京都,1.494
13808,所属未定地,東京都,2.06
14101,横浜市鶴見区,神奈川,33.217
14102,横浜市神奈川区,神奈川,23.721
14103,横浜市西区,神奈川,7.027
14104,横浜市中区,神奈川,21.733
14105,横浜市南区,神奈川,12.652
14106,横浜市保土ケ谷区,神奈川,21.928
14107,横浜市磯子区,神奈川,19.042
14108,横浜市金沢区,神奈川,30.95
14109,横浜市港北区,神奈川,31.397
14110,横浜市戸塚区,神奈川,35.788
14111,横浜市港南区,神奈川,19.9
14112,横浜市旭区,神奈川,32.724
14113,横浜市緑区,神奈川,25.505
14114,横浜市瀬谷区,神奈川,17.162
14115,横浜市栄区,神奈川,18.52
14116,横浜市泉区,神奈川,23.575
14117,横浜市青葉区,神奈川,35.214
14118,横浜市都筑区,神奈川,27.868
14131,川崎市川崎区,神奈川,39.48
14132,川崎市幸区,神奈川,10.007
14133,川崎市中原区,神奈川,14.738
14134,川崎市高津区,神奈川,16.355
14135,川崎市多摩区,神奈川,20.499
14136,川崎市宮前区,神奈川,18.604
14137,川崎市麻生区,神奈川,23.25
14151,相模原市緑区,神奈川,253.899
14152,相模原市中央区,神奈川,36.864
