lat,lng,women_40plus
36.541559,140.640548,675
36.551822,140.637948,945
36.559189,140.642764,230
36.589603,140.597899,2172
36.537525,140.635405,1667
36.54201,140.600572,2102
36.531041,140.633286,2105
36.532101,140.603057,1310
36.523906,140.604633,1409
36.519663,140.625693,1114
36.559901,140.611938,550
36.548605,140.612751,690
36.530407,140.610545,741
36.526654,140.611385,524
36.498926,140.622742,3057
36.512054,140.614715,1805
36.510357,140.597215,1086
36.501533,140.603107,1146
36.501703,140.592936,115
36.50736,140.58154,240
36.501461,140.568518,166
36.496471,140.577962,141
36.48898,140.603927,204
36.493236,140.618978,31
36.62707,140.686192,880
36.682725,140.704423,1079
36.677227,140.694141,660
36.669648,140.680325,579
36.674891,140.66922,1399
36.692061,140.653308,232
36.675491,140.607742,174
36.699081,140.553171,10
36.667331,140.684989,349
36.069258,140.17347,773
36.030533,140.158806,318
36.021805,140.157984,338
36.025248,140.166134,949
36.033953,140.163427,469
36.077728,140.206143,3
36.144778,140.199714,120
36.097227,140.161977,69
36.082043,140.188128,275
36.114183,140.205893,1197
36.143479,140.189279,60
36.062585,140.214377,528
36.079655,140.193116,267
36.082377,140.196219,234
36.074495,140.255597,269
36.036912,140.151813,831
36.042,140.141991,188
36.030747,140.147955,1068
36.045155,140.14776,18
36.085535,140.173457,19
36.062072,140.203559,552
36.077029,140.172549,266
36.072104,140.176153,357
36.047848,140.199969,1276
36.082236,140.211689,383
36.109959,140.232903,1145
36.12169,140.227555,1218
36.117767,140.251822,456
36.123915,140.191154,63
36.101474,140.217712,787
36.105001,140.212023,436
36.037399,140.168061,401
36.067622,140.190357,195
36.069521,140.206215,971
36.065875,140.195604,228
36.133372,140.185582,106
36.05635,140.198311,491
36.05727,140.188956,291
36.085719,140.215639,311
36.062269,140.193004,805
36.090353,140.172573,62
36.078294,140.195898,568
36.082845,140.16312,302
36.104651,140.19009,73
36.108207,140.182844,160
36.099823,140.183821,292
36.077285,140.181943,1033
36.102438,140.256571,121
36.086164,140.20279,254
36.106412,140.269653,408
36.08088,140.190728,118
36.088211,140.196036,101
36.084971,140.184533,568
