code,city,pref,total_pop,women_40plus,area_km2
11225,入間市,埼玉県,145651,48096,44.687
11227,朝霞市,埼玉県,141083,39419,18.332
11228,志木市,埼玉県,75346,23089,9.048
11229,和光市,埼玉県,83989,21572,11.036
11230,新座市,埼玉県,166017,50815,22.776
11231,桶川市,埼玉県,74748,24634,25.342
11232,久喜市,埼玉県,150582,49638,82.393
11233,北本市,埼玉県,65201,22525,19.812
11234,八潮市,埼玉県,93363,25684,18.013
11235,富士見市,埼玉県,111859,33297,19.761
11237,三郷市,埼玉県,142145,43095,30.042
11238,蓮田市,埼玉県,61499,20653,27.276
11239,坂戸市,埼玉県,100275,31981,41.017
11240,幸手市,埼玉県,50066,17516,33.92
11241,鶴ヶ島市,埼玉県,70117,22675,17.649
11242,日高市,埼玉県,54571,18375,47.47
11243,吉川市,埼玉県,71979,21225,31.657
11245,ふじみ野市,埼玉県,113597,35547,14.636
11246,白岡市,埼玉県,52214,16589,24.918
11301,伊奈町,埼玉県,44841,13523,14.787
11324,三芳町,埼玉県,38434,12907,15.325
11326,毛呂山町,埼玉県,35366,11697,34.067
11327,越生町,埼玉県,11029,3998,40.386
11341,滑川町,埼玉県,19732,5586,29.676
11342,嵐山町,埼玉県,17889,6095,29.911
11343,小川町,埼玉県,28524,10603,60.351
11346,川島町,埼玉県,19378,6734,41.62
11347,吉見町,埼玉県,18192,6406,38.638
11348,鳩山町,埼玉県,13560,5427,25.728
11349,ときがわ町,埼玉県,10540,3887,55.895
11361,横瀬町,埼玉県,7979,2788,49.294
11362,皆野町,埼玉県,9302,3423,63.733
11363,長瀞町,埼玉県,6807,2613,30.427
11365,小鹿野町,埼玉県,10928,4084,171.249
11369,東秩父村,埼玉県,2709,1063,37.053
11381,美里町,埼玉県,11039,3803,33.403
11383,神川町,埼玉県,13359,4473,47.395
11385,上里町,埼玉県,30343,9549,29.178
11408,寄居町,埼玉県,32374,11300,64.244
11442,宮代町,埼玉県,34147,11099,15.946
11464,杉戸町,埼玉県,43845,14944,30.022
11465,松伏町,埼玉県,28266,9439,16.195
12101,千葉市中央区,千葉県,211736,56889,44.707
12102,千葉市花見川区,千葉県,177328,56324,34.185
12103,千葉市稲毛区,千葉県,160582,49034,21.218
12104,千葉市若葉区,千葉県,146940,47846,84.175
12105,千葉市緑区,千葉県,129421,39555,66.241
12106,千葉市美浜区,千葉県,148944,50266,21.192
12202,銚子市,千葉県,58431,22385,84.198
12203,市川市,千葉県,496676,138996,56.915
12204,船橋市,千葉県,642907,192303,85.601
12205,館山市,千葉県,45153,16790,110.025
12206,木更津市,千葉県,136166,41611,138.868
12207,松戸市,千葉県,498232,153533,61.366
12208,野田市,千葉県,152638,49871,103.529
12210,茂原市,千葉県,86782,30199,99.9
12211,成田市,千葉県,132906,37854,213.806
12212,佐倉市,千葉県,168743,58365,103.677
12213,東金市,千葉県,58219,18777,89.104
12215,旭市,千葉県,63745,21396,130.473
12216,習志野市,千葉県,176197,52198,20.968
12217,柏市,千葉県,426468,130132,114.721
12218,勝浦市,千葉県,16927,6370,94.104
12219,市原市,千葉県,269524,83965,368.089
12220,流山市,千葉県,199849,56252,35.316
12221,八千代市,千葉県,199498,62224,51.379
12222,我孫子市,千葉県,130510,44322,43.141
12223,鴨川市,千葉県,32116,11591,191.102
12224,鎌ケ谷市,千葉県,109932,35396,21.081
12225,君津市,千葉県,82206,27193,318.717
12226,富津市,千葉県,42465,15213,205.355
12227,浦安市,千葉県,171362,46133,18.87
12228,四街道市,千葉県,93576,29635,34.518
12229,袖ケ浦市,千葉県,63883,19191,94.902
12230,八街市,千葉県,67455,22552,74.928
12231,印西市,千葉県,102609,30122,123.768
12232,白井市,千葉県,62441,19937,35.474
12233,富里市,千葉県,49735,15473,53.87
12234,南房総市,千葉県,35831,14822,229.51
12235,匝瑳市,千葉県,35040,12780,101.474
12236,香取市,千葉県,72356,26352,262.328
12237,山武市,千葉県,48444,17489,146.751
12238,いすみ市,千葉県,35544,13868,157.478
12239,大網白里市,千葉県,48129,16782,58.075
12322,酒々井町,千葉県,20745,6856,19.005
12329,栄町,千葉県,20127,7421,32.508
12342,神崎町,千葉県,5816,2057,19.895
12347,多古町,千葉県,13735,4913,72.792
12349,東庄町,千葉県,13228,4918,46.251
12403,九十九里町,千葉県,14639,5604,24.438
12409,芝山町,千葉県,7033,2579,43.238
12410,横芝光町,千葉県,22075,8120,67.0
12421,一宮町,千葉県,11897,4144,22.988
12422,睦沢町,千葉県,6760,2563,35.585
12423,長生村,千葉県,13803,4861,28.25
12424,白子町,千葉県,10305,3863,27.5
12426,長柄町,千葉県,6721,2678,47.104
12427,長南町,千葉県,7198,2883,65.497
12441,大多喜町,千葉県,8885,3472,129.847
12443,御宿町,千葉県,6874,2949,24.695
12463,鋸南町,千葉県,6993,2886,45.165
12801,市川市・船橋市境界地先の土地,千葉県,0,0,0.1
13101,千代田区,東京都,66680,17789,11.48
13102,中央区,東京都,169179,48456,10.222
13103,港区,東京都,260486,76170,20.529
13104,新宿区,東京都,349385,89531,18.22
13105,文京区,東京都,240069,65229,11.284
13106,台東区,東京都,211444,60602,10.104
13107,墨田区,東京都,272085,78582,13.769
13108,江東区,東京都,524310,154406,43.002
13109,品川区,東京都,422488,114887,22.831
13110,目黒区,東京都,288088,86554,14.672
13111,大田区,東京都,748081,210817,61.846
13112,世田谷区,東京都,943664,289020,58.043
13113,渋谷区,東京都,243883,65881,15.108
13114,中野区,東京都,344880,90418,15.591
13115,杉並区,東京都,591108,167260,34.049
13116,豊島区,東京都,301599,80453,13.009
13117,北区,東京都,355213,105032,20.605
13118,荒川区,東京都,217475,64052,10.154
13119,板橋区,東京都,584483,167395,32.217
13120,練馬区,東京都,752608,217417,48.073
13121,足立区,東京都,695043,207657,53.236
13122,葛飾区,東京都,453093,138071,34.872
13123,江戸川区,東京都,697932,196319,48.843
13201,八王子市,東京都,579355,177905,186.354
13202,立川市,東京都,183581,56251,24.356
13203,武蔵野市,東京都,150149,44501,10.977
13204,三鷹市,東京都,195391,57293,16.421
13205,青梅市,東京都,133535,45637,103.293
13206,府中市,東京都,262790,75736,29.421
13207,昭島市,東京都,113949,35578,17.336
13208,調布市,東京都,242614,70497,21.578
13209,町田市,東京都,431079,139598,71.535
13210,小金井市,東京都,126074,35256,11.293
13211,小平市,東京都,198739,58570,20.511
13212,日野市,東京都,190435,55844,27.541
13213,東村山市,東京都,151815,49283,17.132
13214,国分寺市,東京都,129242,37172,11.454
13215,国立市,東京都,77130,23771,8.147
13218,福生市,東京都,56414,17912,10.161
13219,狛江市,東京都,84772,25688,6.386
13220,東大和市,東京都,83901,27150,13.422
13221,清瀬市,東京都,76208,24931,10.229
13222,東久留米市,東京都,115271,38193,12.879
13223,武蔵村山市,東京都,70829,21929,15.319
13224,多摩市,東京都,146951,48929,21.006
13225,稲城市,東京都,93151,26988,17.967
13227,羽村市,東京都,54326,17384,9.9
13228,あきる野市,東京都,79292,25563,73.46
13229,西東京市,東京都,207388,63900,15.75
13303,瑞穂町,東京都,31765,10390,16.844
13305,日の出町,東京都,16958,6006,28.07
13307,檜原村,東京都,2003,848,105.397
13308,奥多摩町,東京都,4750,1912,225.515
13361,大島町,東京都,7102,2503,90.748
13362,利島村,東京都,327,76,4.124
13363,新島村,東京都,2441,896,27.534
13364,神津島村,東京都,1855,592,18.582
13381,三宅村,東京都,2273,730,55.248
13382,御蔵島村,東京都,323,67,20.545
13401,八丈町,東京都,7042,2554,72.221
13402,青ヶ島村,東京都,169,32,5.96
13421,小笠原村,東京都,2929,615,107.05
13801,鳥島,東京都,0,0,4.786
13802,ベヨネース列岩,東京都,0,0,0.002
13803,須美寿島,東京都,0,0,0.023
13804,孀婦岩,東京都,0,0,0.004
13805,荒川河口部,東京都,0,0,1.123
13807,中央防波堤外側廃棄物処理場（中潮橋南側）,東京都,0,0,1.494
13808,所属未定地,東京都,0,0,2.06
14101,横浜市鶴見区,神奈川,297437,81465,33.217
14102,横浜市神奈川区,神奈川,247267,69614,23.721
14103,横浜市西区,神奈川,104935,29581,7.027
14104,横浜市中区,神奈川,151388,44063,21.733
14105,横浜市南区,神奈川,198157,61651,12.652
14106,横浜市保土ケ谷区,神奈川,207811,65414,21.928
14107,横浜市磯子区,神奈川,166731,53337,19.042
14108,横浜市金沢区,神奈川,198939,66078,30.95
14109,横浜市港北区,神奈川,358530,99498,31.397
14110,横浜市戸塚区,神奈川,283709,89057,35.788
14111,横浜市港南区,神奈川,215248,71969,19.9
14112,横浜市旭区,神奈川,245174,82613,32.724
14113,横浜市緑区,神奈川,183082,56458,25.505
14114,横浜市瀬谷区,神奈川,122623,40326,17.162
14115,横浜市栄区,神奈川,120194,40928,18.52
14116,横浜市泉区,神奈川,152378,50898,23.575
14117,横浜市青葉区,神奈川,310756,97611,35.214
14118,横浜市都筑区,神奈川,213132,62311,27.868
14131,川崎市川崎区,神奈川,232965,60592,39.48
14132,川崎市幸区,神奈川,171119,47969,10.007
14133,川崎市中原区,神奈川,263683,65546,14.738
14134,川崎市高津区,神奈川,234328,63863,16.355
14135,川崎市多摩区,神奈川,221734,57853,20.499
14136,川崎市宮前区,神奈川,233728,68417,18.604
14137,川崎市麻生区,神奈川,180705,56112,23.25
14151,相模原市緑区,神奈川,170207,53283,253.899
14152,相模原市中央区,神奈川,273875,81624,36.864
14153,相模原市南区,神奈川,281411,85875,38.104
14201,横須賀市,神奈川,388078,132786,100.793
14203,平塚市,神奈川,258422,82666,67.646
14204,鎌倉市,神奈川,172710,62862,39.653
14205,藤沢市,神奈川,436905,135836,69.552
14206,小田原市,神奈川,188856,63662,113.583
14207,茅ヶ崎市,神奈川,242389,79549,35.67
14208,逗子市,神奈川,57060,20842,17.273
14210,三浦市,神奈川,42069,16291,32.043
14211,秦野市,神奈川,162439,52231,103.747
14212,厚木市,神奈川,223705,67054,93.824
14213,大和市,神奈川,239169,71285,27.084
14214,伊勢原市,神奈川,101780,30762,55.55
14215,海老名市,神奈川,136516,40947,26.582
14216,座間市,神奈川,132325,41074,17.564
14217,南足柄市,神奈川,40841,14247,77.118
14218,綾瀬市,神奈川,83913,25738,22.138
14301,葉山町,神奈川,31665,11720,17.039
14321,寒川町,神奈川,48348,14939,13.336
14341,大磯町,神奈川,31634,11372,17.365
14342,二宮町,神奈川,27564,10087,9.074
14361,中井町,神奈川,9300,3241,19.992
14362,大井町,神奈川,17129,5643,14.379
14363,松田町,神奈川,10836,3782,37.745
14364,山北町,神奈川,9761,3672,224.591
14366,開成町,神奈川,18329,5732,6.549
14382,箱根町,神奈川,11293,3875,92.854
14383,真鶴町,神奈川,6722,2857,7.045
14384,湯河原町,神奈川,23426,9654,40.963
14401,愛川町,神奈川,39869,12595,34.272
14402,清川村,神奈川,3038,1083,71.235
22101,静岡市葵区,静岡県,249297,85707,1074.372
22102,静岡市駿河区,静岡県,213026,66837,73.081
22103,静岡市清水区,静岡県,231066,80695,265.161
22131,浜松市中区,静岡県,235240,73695,44.376
22132,浜松市東区,静岡県,129356,39353,46.32
22133,浜松市西区,静岡県,108160,35765,114.798
22134,浜松市南区,静岡県,99769,31054,47.349
22135,浜松市北区,静岡県,92688,30538,295.77
22136,浜松市浜北区,静岡県,98779,30255,66.548
22137,浜松市天竜区,静岡県,26726,10656,944.385
22203,沼津市,静岡県,189386,66337,186.826
22205,熱海市,静岡県,34208,14875,61.77
22206,三島市,静岡県,107783,36211,62.019
22207,富士宮市,静岡県,128105,42459,387.721
22208,伊東市,静岡県,65491,26437,124.013
22209,島田市,静岡県,95719,32111,315.829
22210,富士市,静岡県,245392,80672,244.969
22211,磐田市,静岡県,166672,52160,163.07
22212,焼津市,静岡県,136845,45474,70.323
22213,掛川市,静岡県,114954,35763,265.817
22214,藤枝市,静岡県,141342,47276,194.128
22215,御殿場市,静岡県,86614,26077,194.901
22216,袋井市,静岡県,87864,25424,108.389
22219,下田市,静岡県,20183,8110,104.372
22220,裾野市,静岡県,50911,15454,138.12
22221,湖西市,静岡県,57885,17996,86.638
22222,伊豆市,静岡県,28190,11332,363.959
22223,御前崎市,静岡県,31103,10149,65.593
22224,菊川市,静岡県,47789,14244,94.23
22225,伊豆の国市,静岡県,46804,16706,94.618
22226,牧之原市,静岡県,43502,14772,111.728
22301,東伊豆町,静岡県,11488,4822,77.81
22302,河津町,静岡県,6870,2697,100.69
22304,南伊豆町,静岡県,7877,3317,109.945
22305,松崎町,静岡県,6038,2637,85.11
22306,西伊豆町,静岡県,7090,3102,105.407
22325,函南町,静岡県,36794,12870,65.156
22341,清水町,静岡県,31710,10239,8.808
22342,長泉町,静岡県,43336,12518,26.631
22344,小山町,静岡県,18568,5846,131.801
22424,吉田町,静岡県,28919,8840,20.736
22429,川根本町,静岡県,6206,2549,496.786
22461,森町,静岡県,17457,5977,133.978
