code,city,area_type,nearest_road_m,road_bonus
13102,中央区,超都心,116.0,1.0
13103,港区,超都心,422.0,1.0
13104,新宿区,超都心,77.0,1.0
13105,文京区,超都心,385.0,1.0
13106,台東区,超都心,394.0,1.0
13107,墨田区,超都心,617.0,1.0
13108,江東区,超都心,317.0,1.0
13109,品川区,超都心,762.0,1.0
13110,目黒区,超都心,454.0,1.0
13111,大田区,超都心,190.0,1.0
13112,世田谷区,超都心,35.0,1.0
13113,渋谷区,超都心,669.0,1.0
13114,中野区,超都心,111.0,1.0
13115,杉並区,超都心,686.0,1.0
13116,豊島区,超都心,119.0,1.0
13117,北区,超都心,226.0,1.0
13118,荒川区,超都心,208.0,1.0
13119,板橋区,超都心,242.0,1.0
13120,練馬区,超都心,110.0,1.0
13121,足立区,超都心,34.0,1.0
13122,葛飾区,超都心,28.0,1.0
13123,江戸川区,都心住宅,621.0,1.0
13201,八王子市,郊外住宅,392.0,1.3
13202,立川市,都心住宅,244.0,1.0
13203,武蔵野市,超都心,93.0,1.0
13204,三鷹市,都心住宅,384.0,1.0
13205,青梅市,ロードサイド,1189.0,0.85
13206,府中市,超都心,43.0,1.0
13207,昭島市,都心住宅,781.0,1.0
13208,調布市,超都心,486.0,1.0
13209,町田市,都心住宅,506.0,1.0
13210,小金井市,都心住宅,348.0,1.0
13211,小平市,超都心,357.0,1.0
13212,日野市,都心住宅,292.0,1.0
13213,東村山市,超都心,476.0,1.0
13214,国分寺市,超都心,23.0,1.0
13215,国立市,超都心,961.0,1.0
13218,福生市,都心住宅,272.0,1.0
13219,狛江市,超都心,20.0,1.0
13220,東大和市,都心住宅,23.0,1.0
13221,清瀬市,郊外住宅,67.0,1.3
13222,東久留米市,郊外住宅,395.0,1.3
13223,武蔵村山市,郊外住宅,86.0,1.3
13224,多摩市,都心住宅,231.0,1.0
13225,稲城市,都心住宅,11.0,1.0
13227,羽村市,都心住宅,528.0,1.0
13228,あきる野市,ロードサイド,165.0,1.3
13229,西東京市,超都心,305.0,1.0
13303,瑞穂町,ロードサイド,139.0,1.3
13305,日の出町,ロードサイド,1528.0,0.85
13307,檜原村,ロードサイド,2504.0,0.85
13308,奥多摩町,ロードサイド,3139.0,0.85
13361,大島町,ロードサイド,48913.0,0.85
13362,利島村,ロードサイド,68020.0,0.85
13363,新島村,ロードサイド,84024.0,0.85
13364,神津島村,ロードサイド,100101.0,0.85
13381,三宅村,ロードサイド,117306.0,0.85
13382,御蔵島村,ロードサイド,140292.0,0.85
13401,八丈町,ロードサイド,225978.0,0.85
13402,青ヶ島村,ロードサイド,297781.0,0.85
13421,小笠原村,ロードサイド,998191.0,0.85
13801,鳥島,ロードサイド,518343.0,0.85
13802,ベヨネース列岩,ロードサイド,361733.0,0.85
13803,須美寿島,ロードサイド,412359.0,0.85
13804,孀婦岩,ロードサイド,594876.0,0.85
13805,荒川河口部,ロードサイド,246.0,1.3
13807,中央防波堤外側廃棄物処理場（中潮橋南側）,ロードサイド,4360.0,0.85
13808,所属未定地,ロードサイド,4464.0,0.85
14101,横浜市鶴見区,超都心,194.0,1.0
14102,横浜市神奈川区,超都心,540.0,1.0
14103,横浜市西区,超都心,20.0,1.0
14104,横浜市中区,都心住宅,492.0,1.0
14105,横浜市南区,超都心,285.0,1.0
14106,横浜市保土ケ谷区,都心住宅,692.0,1.0
14107,横浜市磯子区,超都心,42.0,1.0
14108,横浜市金沢区,都心住宅,127.0,1.0
14109,横浜市港北区,超都心,929.0,1.0
14110,横浜市戸塚区,都心住宅,234.0,1.0
14111,横浜市港南区,超都心,420.0,1.0
14112,横浜市旭区,都心住宅,730.0,1.0
14113,横浜市緑区,都心住宅,1525.0,1.0
14114,横浜市瀬谷区,都心住宅,279.0,1.0
14115,横浜市栄区,郊外住宅,195.0,1.3
14116,横浜市泉区,都心住宅,627.0,1.0
14117,横浜市青葉区,都心住宅,99.0,1.0
14118,横浜市都筑区,都心住宅,433.0,1.0
14131,川崎市川崎区,都心住宅,1025.0,1.0
14132,川崎市幸区,超都心,445.0,1.0
14133,川崎市中原区,超都心,264.0,1.0
14134,川崎市高津区,超都心,4.0,1.0
14135,川崎市多摩区,超都心,124.0,1.0
14136,川崎市宮前区,都心住宅,79.0,1.0
14137,川崎市麻生区,都心住宅,113.0,1.0
