code,fishery,manufacturing,agriculture,commerce,fishery_year,manufacturing_year,agriculture_year,commerce_year
11462,,996.0,840.0,1621.0,,2009100000,2006100000,2007100000
11463,,3623.0,3054.0,2788.0,,1985100000,1985100000,1985100000
11464,,2209.0,2370.0,2290.0,,2023100000,2006100000,2021100000
11465,,1732.0,1090.0,1075.0,,2023100000,2006100000,2021100000
11466,,4040.0,3260.0,3000.0,,1995100000,1995100000,1994100000
11468,,926.0,2480.0,1704.0,,2004100000,2004100000,2004100000
12100,,22628.0,10900.0,71311.0,,2023100000,2006100000,2021100000
12101,,4971.0,,21208.0,,2023100000,,2021100000
12102,,3963.0,,7960.0,,2023100000,,2021100000
12103,,4149.0,,9673.0,,2023100000,,2021100000
12104,,1510.0,,7396.0,,2023100000,,2021100000
12105,,2464.0,,6337.0,,2023100000,,2021100000
12106,,5571.0,,18737.0,,2023100000,,2021100000
12201,,30625.0,15930.0,81027.0,,1991100000,1991100000,1991100000
12202,,4441.0,22840.0,4774.0,,2023100000,2006100000,2021100000
12203,,7067.0,4240.0,20332.0,,2023100000,2006100000,2021100000
12204,,15730.0,8320.0,33124.0,,2023100000,2006100000,2021100000
12205,,582.0,6440.0,3840.0,,2023100000,2006100000,2021100000
12206,,3487.0,5170.0,10797.0,,2023100000,2006100000,2021100000
12207,,9817.0,5630.0,24190.0,,2023100000,2006100000,2021100000
12208,,10970.0,8430.0,7565.0,,2023100000,2006100000,2021100000
12209,,1522.0,11730.0,4272.0,,2005100000,2005100000,2004100000
12210,,5103.0,5680.0,6704.0,,2023100000,2006100000,2021100000
12211,,7000.0,16130.0,10906.0,,2023100000,2006100000,2021100000
12212,,8887.0,5370.0,8549.0,,2023100000,2006100000,2021100000
12213,,2970.0,7330.0,4298.0,,2023100000,2006100000,2021100000
12214,,1657.0,8490.0,3119.0,,2005100000,2005100000,2004100000
12215,,3822.0,41830.0,4887.0,,2023100000,2006100000,2021100000
12216,,7549.0,740.0,9566.0,,2023100000,2006100000,2021100000
12217,,9922.0,9580.0,27215.0,,2023100000,2006100000,2021100000
12218,,367.0,2010.0,1080.0,,2023100000,2006100000,2021100000
12219,,20497.0,12030.0,15374.0,,2023100000,2006100000,2021100000
12220,,2047.0,2760.0,8993.0,,2023100000,2006100000,2021100000
12221,,8794.0,4100.0,10115.0,,2023100000,2006100000,2021100000
12222,,662.0,2820.0,4772.0,,2023100000,2006100000,2021100000
12223,,609.0,5500.0,2753.0,,2023100000,2006100000,2021100000
12224,,1981.0,3830.0,5027.0,,2023100000,2006100000,2021100000
12225,,6866.0,9080.0,5053.0,,2023100000,2006100000,2021100000
12226,,2432.0,4890.0,2375.0,,2023100000,2006100000,2021100000
12227,,2207.0,0.0,11620.0,,2023100000,2005100000,2021100000
12228,,1231.0,1680.0,5130.0,,2023100000,2006100000,2021100000
12229,,6834.0,8120.0,2544.0,,2023100000,2006100000,2021100000
12230,,2866.0,14600.0,4665.0,,2023100000,2006100000,2021100000
12231,,1595.0,4440.0,6616.0,,2023100000,2006100000,2021100000
12232,,4224.0,4810.0,3276.0,,2023100000,2006100000,2021100000
12233,,2484.0,11150.0,3313.0,,2023100000,2006100000,2021100000
12234,,913.0,15830.0,1850.0,,2023100000,2006100000,2021100000
12235,,2131.0,14090.0,2165.0,,2023100000,2006100000,2021100000
12236,,3065.0,32130.0,4919.0,,2023100000,2006100000,2021100000
12237,,2722.0,16210.0,2728.0,,2023100000,2006100000,2021100000
12238,,1149.0,8240.0,2245.0,,2023100000,2006100000,2021100000
12239,,333.0,,1998.0,,2023100000,,2021100000
12301,,2243.0,0.0,,,1980100000,1980100000,
12303,,3402.0,5450.0,1065.0,,2002100000,2002100000,2002100000
12305,,2390.0,5270.0,3642.0,,2004100000,2004100000,2004100000
12321,,1531.0,2144.0,,,1980100000,1980100000,
